comuna,fecha,festivo
belén,2014-01-01,True
guayabal,2014-01-02,False
la candelaria,2014-01-03,False
villa hermosa,2014-01-04,False
buenos aires,2014-01-05,False
popular,2014-01-06,True
aranjuez,2014-01-07,False
robledo,2014-01-08,False
laureles-estadio,2014-01-09,False
doce de octubre,2014-01-10,False
manrique,2014-01-11,False
castilla,2014-01-12,False
el poblado,2014-01-13,False
san javier,2014-01-14,False
la américa,2014-01-15,False
santa cruz,2014-01-16,False
belén,2014-01-17,False
guayabal,2014-01-18,False
la candelaria,2014-01-19,False
villa hermosa,2014-01-20,False
buenos aires,2014-01-21,False
popular,2014-01-22,False
aranjuez,2014-01-23,False
robledo,2014-01-24,False
laureles-estadio,2014-01-25,False
doce de octubre,2014-01-26,False
manrique,2014-01-27,False
castilla,2014-01-28,False
el poblado,2014-01-29,False
san javier,2014-01-30,False
la américa,2014-01-31,False
santa cruz,2014-02-01,False
belén,2014-02-02,False
guayabal,2014-02-03,False
la candelaria,2014-02-04,False
villa hermosa,2014-02-05,False
buenos aires,2014-02-06,False
popular,2014-02-07,False
aranjuez,2014-02-08,False
robledo,2014-02-09,False
laureles-estadio,2014-02-10,False
doce de octubre,2014-02-11,False
manrique,2014-02-12,False
castilla,2014-02-13,False
el poblado,2014-02-14,False
san javier,2014-02-15,False
la américa,2014-02-16,False
santa cruz,2014-02-17,False
belén,2014-02-18,False
guayabal,2014-02-19,False
la candelaria,2014-02-20,False
villa hermosa,2014-02-21,False
buenos aires,2014-02-22,False
popular,2014-02-23,False
aranjuez,2014-02-24,False
robledo,2014-02-25,False
laureles-estadio,2014-02-26,False
doce de octubre,2014-02-27,False
manrique,2014-02-28,False
castilla,2014-03-01,False
el poblado,2014-03-02,False
san javier,2014-03-03,False
la américa,2014-03-04,False
santa cruz,2014-03-05,False
belén,2014-03-06,False
guayabal,2014-03-07,False
la candelaria,2014-03-08,False
villa hermosa,2014-03-09,False
buenos aires,2014-03-10,False
popular,2014-03-11,False
aranjuez,2014-03-12,False
robledo,2014-03-13,False
laureles-estadio,2014-03-14,False
doce de octubre,2014-03-15,False
manrique,2014-03-16,False
castilla,2014-03-17,False
el poblado,2014-03-18,False
san javier,2014-03-19,False
la américa,2014-03-20,False
santa cruz,2014-03-21,False
belén,2014-03-22,False
guayabal,2014-03-23,False
la candelaria,2014-03-24,True
villa hermosa,2014-03-25,False
buenos aires,2014-03-26,False
popular,2014-03-27,False
aranjuez,2014-03-28,False
robledo,2014-03-29,False
laureles-estadio,2014-03-30,False
doce de octubre,2014-03-31,False
manrique,2014-04-01,False
castilla,2014-04-02,False
el poblado,2014-04-03,False
san javier,2014-04-04,False
la américa,2014-04-05,False
santa cruz,2014-04-06,False
belén,2014-04-07,False
guayabal,2014-04-08,False
la candelaria,2014-04-09,False
villa hermosa,2014-04-10,False
