comuna,fecha,festivo
belén,2019-01-01,True
guayabal,2019-01-02,False
la candelaria,2019-01-03,False
villa hermosa,2019-01-04,False
buenos aires,2019-01-05,False
popular,2019-01-06,False
aranjuez,2019-01-07,True
robledo,2019-01-08,False
laureles-estadio,2019-01-09,False
doce de octubre,2019-01-10,False
manrique,2019-01-11,False
castilla,2019-01-12,False
el poblado,2019-01-13,False
san javier,2019-01-14,False
la américa,2019-01-15,False
santa cruz,2019-01-16,False
belén,2019-01-17,False
guayabal,2019-01-18,False
la candelaria,2019-01-19,False
villa hermosa,2019-01-20,False
buenos aires,2019-01-21,False
popular,2019-01-22,False
aranjuez,2019-01-23,False
robledo,2019-01-24,False
laureles-estadio,2019-01-25,False
doce de octubre,2019-01-26,False
manrique,2019-01-27,False
castilla,2019-01-28,False
el poblado,2019-01-29,False
san javier,2019-01-30,False
la américa,2019-01-31,False
santa cruz,2019-02-01,False
belén,2019-02-02,False
guayabal,2019-02-03,False
la candelaria,2019-02-04,False
villa hermosa,2019-02-05,False
buenos aires,2019-02-06,False
popular,2019-02-07,False
aranjuez,2019-02-08,False
robledo,2019-02-09,False
laureles-estadio,2019-02-10,False
doce de octubre,2019-02-11,False
manrique,2019-02-12,False
castilla,2019-02-13,False
el poblado,2019-02-14,False
san javier,2019-02-15,False
la américa,2019-02-16,False
santa cruz,2019-02-17,False
belén,2019-02-18,False
guayabal,2019-02-19,False
la candelaria,2019-02-20,False
villa hermosa,2019-02-21,False
buenos aires,2019-02-22,False
popular,2019-02-23,False
aranjuez,2019-02-24,False
robledo,2019-02-25,False
laureles-estadio,2019-02-26,False
doce de octubre,2019-02-27,False
manrique,2019-02-28,False
castilla,2019-03-01,False
el poblado,2019-03-02,False
san javier,2019-03-03,False
la américa,2019-03-04,False
santa cruz,2019-03-05,False
belén,2019-03-06,False
guayabal,2019-03-07,False
la candelaria,2019-03-08,False
villa hermosa,2019-03-09,False
buenos aires,2019-03-10,False
popular,2019-03-11,False
aranjuez,2019-03-12,False
robledo,2019-03-13,False
laureles-estadio,2019-03-14,False
doce de octubre,2019-03-15,False
manrique,2019-03-16,False
castilla,2019-03-17,False
el poblado,2019-03-18,False
san javier,2019-03-19,False
la américa,2019-03-20,False
santa cruz,2019-03-21,False
belén,2019-03-22,False
guayabal,2019-03-23,False
la candelaria,2019-03-24,False
villa hermosa,2019-03-25,True
buenos aires,2019-03-26,False
popular,2019-03-27,False
aranjuez,2019-03-28,False
robledo,2019-03-29,False
laureles-estadio,2019-03-30,False
doce de octubre,2019-03-31,False
manrique,2019-04-01,False
castilla,2019-04-02,False
el poblado,2019-04-03,False
san javier,2019-04-04,False
la américa,2019-04-05,False
santa cruz,2019-04-06,False
